id   name                                                      description                        country_iiata_codeicao_codelatitude longitude elevatio
    1Goroka                                                    Goroka                                     1GKA      AYGA     -6.08169 145.39188     5282
    2Madang                                                    Madang                                     1MAG      AYMD     -5.20708 145.7887        20
    3Mount Hagen                                               Mount Hagen                                1HGU      AYMH     -5.82679 144.29586     5388
    4Nadzab                                                    Nadzab                                     1LAE      AYNZ     -6.56983 146.72624      239
    5Port Moresby Jacksons Intl                                Port Moresby                               1POM      AYPY     -9.44338 147.22005      146
    6Wewak Intl                                                Wewak                                      1WWK      AYWK     -3.58383 143.66919       19
    7Narsarsuaq                                                Narssarssuaq                               2UAK      BGBW     61.16052 -45.42598      112
    8Nuuk                                                      Godthaab                                   2GOH      BGGH     64.19092 -51.67806      283
    9Sondre Stromfjord                                         Sondrestrom                                2SFJ      BGSF     67.01697 -50.68932      165
   10Thule Air Base                                            Thule                                      2THU      BGTL     76.5312  -68.70316      251
   11Akureyri                                                  Akureyri                                   3AEY      BIAR     65.65999 -18.0727         6
   12Egilsstadir                                               Egilsstadir                                3EGS      BIEG     65.28333 -14.40139       76
   13Hornafjordur                                              Hofn                                       3HFN      BIHN     64.29556 -15.22722       24
   14Husavik                                                   Husavik                                    3HZK      BIHU     65.95233 -17.42598       48
   15Isafjordur                                                Isafjordur                                 3IFJ      BIIS     66.05806 -23.13528        8
   16Keflavik International Airport                            Keflavik                                   3KEF      BIKF      63985.00-22.60556      171
   17Patreksfjordur                                            Patreksfjordur                             3PFJ      BIPA     65.55583  -23965.00      11
   18Reykjavik                                                 Reykjavik                                  3RKV      BIRK     64.13    -21.94056       48
   19Siglufjordur                                              Siglufjordur                               3SIJ      BISI     66.13333 -18.91667       10
   20Vestmannaeyjar                                            Vestmannaeyjar                             3VEY      BIVM     63.4243  -20.27888      326
   21Sault Ste Marie                                           Sault Sainte Marie                         4YAM      CYAM      46485.00-84.50944      630
   22Winnipeg St Andrews                                       Winnipeg                                   4YAV      CYAV     50.05639 -97.0325       760
   23Shearwater                                                Halifax                                    4YAW      CYAW     44.63972 -63.49944      167
   24St Anthony                                                St. Anthony                                4YAY      CYAY     51.39194 -56.08306      108
   25Tofino                                                    Tofino                                     4YAZ      CYAZ     49.08222 -125.7725       80
   26Kugaaruk                                                  Pelly Bay                                  4YBB      CYBB     68.53444 -89.80806       56
   27Baie Comeau                                               Baie Comeau                                4YBC      CYBC     49.1325  -68.20444       71
   28Bagotville                                                Bagotville                                 4YBG      CYBG     48.33056 -70.99639      522
   29Baker Lake                                                Baker Lake                                 4YBK      CYBK     64.29889 -96.07778       59
   30Campbell River                                            Campbell River                             4YBL      CYBL     49.95083 -125.27083     346
   31Brandon Muni                                              Brandon                                    4YBR      CYBR     49.91    -99.95194     1343
   32Cambridge Bay                                             Cambridge Bay                              4YCB      CYCB     69.10806 -105.13833      90
   33Nanaimo                                                   Nanaimo                                    4YCD      CYCD     49.05233 -123.87017      93
   34Castlegar                                                 Castlegar                                  4YCG      CYCG     49.29639 -117.6325     1624
   35Miramichi                                                 Chatham                                    4YCH      CYCH     47.00778 -65.44917      108
   36Charlo                                                    Charlo                                     4YCL      CYCL     47.99083 -66.33028      132
   37Kugluktuk                                                 Coppermine                                 4YCO      CYCO     67.81667 -115.14389      74
   38Coronation                                                Coronation                                 4YCT      CYCT      52075.00-111.44528    2595
   39Chilliwack                                                Chilliwack                                 4YCW      CYCW     49.15278 -121.93889      32
   40Clyde River                                               Clyde River                                4YCY      CYCY     70.48611 -68.51667       87
   41Fairmont Hot Springs                                      Coral Harbour                              4YZS      CYCZ     64.19333 -83.35944     2661
   42Dawson City                                               Dawson                                     4YDA      CYDA     64.04306 -139.12778    1215
   43Burwash                                                   Burwash                                    4YDB      CYDB     61.37111 -139.04056    2647
   44Princeton                                                 Princeton                                  4YDC      CYDC     49.46806 -120.51139    2298
   45Deer Lake                                                 Deer Lake                                  4YDF      CYDF     49.21083 -57.39139       72
   46Dease Lake                                                Dease Lake                                 4YDL      CYDL     58.42222 -130.03222    2600
   47Dauphin Barker                                            Dauphin                                    4YDN      CYDN     51.10083 -100.0525      999
   48Dawson Creek                                              Dawson Creek                               4YDQ      CYDQ     55.74233 -120183.00    2148
   49Edmonton Intl                                             Edmonton                                   4YEG      CYEG     53.30972 -113.57972    2373
   50Arviat                                                    Eskimo Point                               4YEK      CYEK     61.09417 -94.07083       32
   51Estevan                                                   Estevan                                    4YEN      CYEN     49.21028 -102.96583    1905
   52Edson                                                     Edson                                      4YET      CYET     53.57889 -116465.00    3041
   53Eureka                                                    Eureka                                     4YEU      CYEU     79.99472 -85.81417      256
   54Inuvik Mike Zubko                                         Inuvik                                     4YEV      CYEV     68.30417 -133.48278     224
   55Iqaluit                                                   Iqaluit                                    4YFB      CYFB     63.75639 -68.55583      110
   56Fredericton                                               Fredericton                                4YFC      CYFC     45.86889 -66.53722       68
   57Forestville                                               Forestville                                4         CYFE     48.74611 -69.09722      293
   58Flin Flon                                                 Flin Flon                                  4YFO      CYFO     54.67806 -101.68167     997
   59Fort Resolution                                           Fort Resolution                            4YFR      CYFR     61.18083 -113.68972     526
   60Fort Simpson                                              Fort Simpson                               4YFS      CYFS     61.76015 -121.23652     555
   61Kingston                                                  Kingston                                   4YGK      CYGK     44.22528 -76.59694      305
   62La Grande Riviere                                         La Grande Riviere                          4YGL      CYGL     53.62528 -77.70417      639
   63Gaspe                                                     Gaspe                                      4YGP      CYGP     48.77528 -64.47861      108
   64Geraldton Greenstone Regional                             Geraldton                                  4YGQ      CYGQ     49.77833 -86.93944     1144
